id,name,ra,dec,distance,mag,absmag,spectrum
1730,Rigel Kentaurus B,14.66094188,-60.83947139,1.34749097181049,1.35,5.7023706,K
1731,Rigel Kentaurus A,14.66136068,-60.83514707,1.34749097181049,-0.01,4.3423705,G
1732,,14.67876693,16.4183013,97.2762645914397,4.49,-0.45003444,B
1733,,14.68581121,13.72833113,55.3403431101273,3.78,0.06479076,A
1734,,14.69409903,8.16175611,176.678445229682,4.86,-1.3759178,G
1735,,14.69882606,-47.38814127,168.067226890756,2.3,-3.8274152,B
1736,,14.69933688,-37.79342394,93.5453695042095,4.01,-0.8451115,B
1737,,14.70852362,-64.97456957,16.4015089388224,3.18,2.105581,F
1738,,14.71765618,-5.6574291,18.677624206201,3.87,2.5133917,F
1739,,14.72371441,26.52789077,272.479564032698,4.8,-2.3766696,M
1740,,14.7276343,-35.17322549,62.9326620516048,4.06,0.06561948,K
1741,,14.74977641,-35.19182069,63.4517766497462,4.92,0.90778106,A
1742,Izar,14.74979191,27.07417383,64.3086816720257,2.35,-1.6913481,A
1743,,14.754027,16.96440296,69.060773480663,4.6,0.4038428,K
1744,,14.75479075,-62.87545275,45.9770114942529,5.36,2.0472963,A
1745,,14.76671605,-25.44291557,30.4321363359708,5.15,2.7333379,F
1746,,14.77083106,1.8929383,39.4477317554241,3.73,0.7498898,A
1747,,14.78369739,-52.38331777,79.4912559618442,5.22,0.7184032,G
1748,,14.79577255,-26.0874799,101.626016260163,5.23,0.1949755,G
1749,,14.79770171,-79.04471242,126.103404791929,3.83,-1.673634,K
1750,,14.82196971,-14.14898587,72.1500721500721,5.32,1.0288161,A
1751,,14.83818519,-27.96021925,93.6329588014981,4.42,-0.43714374,K
1752,,14.84161173,37.27181511,61.3120784794605,5.47,1.5322698,K
1753,,14.84479547,-15.99709226,23.6630383341221,5.15,3.2796474,F
1754,Kochab,14.84510983,74.15547596,38.7747188832881,2.07,-0.8727433,K
1755,,14.84799369,-16.04161047,23.6686390532544,2.75,0.8791336,A
1756,,14.85028336,-2.29884995,66.2690523525514,4.93,0.8234462,G
1757,,14.85646783,19.10063329,6.6997186118183,4.54,5.409717,G
1758,,14.85738186,59.29365246,135.50135501355,5.48,-0.1797182,K
1759,,14.86064536,-43.57529383,125.0,4.32,-1.1645501,B
1760,,14.88085801,-37.80311642,117.785630153121,5.02,-0.33546156,B
1761,,14.9055934,-24.64213517,117.924528301887,5.27,-0.08802074,K
1762,,14.92630767,-60.11389133,52.9941706412295,5.18,1.5588595,K
1763,,14.92908184,-33.85578004,75.7575757575758,5.32,0.9228697,A
1764,,14.93811806,-52.80956707,66.3129973474801,5.38,1.2720068,A
1765,,14.9455562,-62.78098762,255.754475703325,5.08,-1.9591162,B
1766,,14.94614085,-11.4097279,165.016501650165,5.48,-0.60763687,K
1767,,14.95307133,-4.34608634,27.9095729835334,4.47,2.241234,F
1768,,14.95975531,65.93238126,121.951219512195,4.63,-0.80093074,M
1769,,14.96476594,-76.66261622,131.233595800525,5.37,-0.22022514,K
1770,,14.97554279,-43.13386699,160.513643659711,2.68,-3.3475597,B
1771,,14.9860275,-42.10414199,165.289256198347,3.13,-2.9612231,B
1772,,15.01621879,-8.51893488,93.2835820895522,4.91,0.060973927,B
1773,,15.03244253,40.39063671,67.0690811535882,3.49,-0.6426118,G
1774,,15.03514226,25.00825646,110.253583241455,4.8,-0.41196355,K
1775,,15.04835277,2.09127129,56.2429696287964,4.39,0.6396588,K
1776,,15.04980289,-32.64324605,107.296137339056,5.45,0.29707956,B
1777,,15.06324494,47.65401409,12.7567291746396,4.83,4.3013034,G
1778,,15.06785052,-25.28185602,89.5255147717099,3.25,-1.5097342,M
1779,,15.07412697,26.94765981,76.6871165644172,4.52,0.09638796,K
1780,,15.08001369,-64.03137307,81.9672131147541,5.16,0.59179914,G
1781,,15.08530713,-47.05119386,152.439024390244,3.91,-2.0054808,B
1782,,15.08865233,-41.06723379,112.612612612613,5.13,-0.12793517,G
1783,,15.1046303,54.55628697,79.8084596967279,5.24,0.72975534,G
1784,,15.11044954,-16.25676124,234.741784037559,5.19,-1.662952,K
1785,,15.12165196,24.86959294,19.723865877712,4.93,3.4550397,F
1786,,15.1473971,-45.27979406,124.688279301746,4.07,-1.4091282,B
1787,,15.18777341,-55.34601439,621.11801242236,5.45,-3.5158706,G
1788,,15.19893362,-48.73770212,55.8971492453885,3.88,0.1430517,B
1789,,15.20369782,-19.79163143,115.473441108545,4.54,-0.7724105,A
1790,,15.20477865,-52.09907465,35.6379187455453,3.41,0.6504383,G
1791,,15.21377909,-44.50035965,139.275766016713,4.83,-0.8893778,B
1792,,15.24144587,29.16422593,69.4444444444444,5.28,1.0718125,A
1793,,15.24370163,-31.51912564,349.65034965035,4.91,-2.8081698,F
1794,,15.24388985,67.34767598,25.3100480890914,5.15,3.1335351,F
1795,,15.25315736,4.93935226,143.266475644699,5.32,-0.4607229,K
1796,,15.25836216,33.31510222,35.7909806728704,3.46,0.691132,G
1797,,15.26778656,-41.49114318,393.700787401575,5.15,-2.8258314,F
1798,,15.28247175,-60.95724479,1960.78431372549,5.04,-6.422149,O
1799,,15.28346439,-9.38286694,49.0677134445535,2.61,-0.8439791,B
1800,,15.2849671,71.82387844,119.4743130227,5.02,-0.3663727,K
1801,,15.29193339,-58.80087882,29.6296296296296,4.07,1.7113689,A
1802,,15.2941355,-63.61048662,114.41647597254,4.85,-0.44244283,K
1803,,15.29717913,-30.14866233,94.4287063267233,4.35,-0.5255202,K
1804,,15.30890239,-47.87519201,89.126559714795,4.27,-0.48003572,B
1805,,15.3136519,-60.49632329,50000.0,5.43,-9.57,O
1806,,15.31519133,-68.67946723,56.0224089635854,2.87,-0.8718089,A
1807,,15.32182775,1.76665611,24.7157686604053,5.04,3.0751295,F
1808,,15.34548589,71.83397308,147.275405007364,3.0,-2.840651,A
1809,,15.35056133,0.71558981,74.7384155455904,5.35,0.98228055,K
1810,,15.35620455,-40.64745946,156.494522691706,3.22,-2.7524958,B
1811,,15.36345457,-36.26116729,100.1001001001,3.57,-1.4321725,K
1812,,15.36350253,32.93366086,75.7575757575758,5.38,0.9828697,B
1813,,15.36899835,-47.92746963,34.1646737273659,4.99,2.3221135,F
1814,,15.37802431,-44.68957314,154.559505409583,3.37,-2.5754786,B
1815,,15.38593424,-36.85843627,185.873605947955,4.54,-1.8060886,B
1816,,15.38672952,30.28824114,18.6219739292365,4.99,3.6398714,G
1817,,15.38962715,-59.32069839,156.25,4.48,-1.4891001,B
1818,,15.40331392,-10.32189476,32.3624595469256,4.92,2.3697925,F
